file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
stay_by_me.mp3,09a9577492316d352a47bc158c1424d4d2a66e8e096ba05fcd025c82543c86e1,"[-110.977783203125, 76.98578643798828, -6.923657417297363, 27.625133514404297, 1.5561953783035278, 13.01464557647705, 12.45772933959961, 2.7197680473327637, 2.8114027976989746, -1.1101415157318115, -5.740255355834961, 2.0011298656463623, -0.4594862759113312, 3.0199763774871826, -3.664139986038208, -5.194199085235596, -5.209238529205322, -2.8978769779205322, -4.621679306030273, 1.5421769618988037]","[0.31111252307891846, 0.47090965509414673, 0.47934064269065857, 0.31773996353149414, 0.3452340066432953, 0.28922754526138306, 0.3703322112560272, 0.2907348573207855, 0.2511185109615326, 0.31525927782058716, 0.31644582748413086, 0.3952591121196747]","[21.383173076405065, 18.094199432010317, 19.970745711179184, 21.180616435208755, 20.23146158604584, 19.90483216576765, 46.19163612157694]","[0.06473033324438966, -0.06076194701687895, 0.05463076282895224, -0.03605957826002633, 0.002994179868694208, -0.011662442279848405]",2536.812287205591,2549.240093562911,5330.517767088332,0.11570753918343653,0.13847867,95.703125
heaven_beach.mp3,714f9ce6e5a9641d1c202d75f9f216199c9559b0da160393fb38aa57bbd90879,"[-288.5622253417969, 145.04632568359375, -33.90138244628906, 27.310287475585938, -5.620988845825195, -1.8676515817642212, -11.128664016723633, -4.7592363357543945, -7.774668216705322, -11.33679485321045, -13.319979667663574, -9.180217742919922, -5.641210556030273, -6.073024272918701, -10.183415412902832, -5.457154273986816, -3.469637393951416, 0.5139991641044617, 2.1255412101745605, -3.866509437561035]","[0.28298455476760864, 0.3135758638381958, 0.36064237356185913, 0.20247778296470642, 0.2188226580619812, 0.15489380061626434, 0.2968199551105499, 0.5334767699241638, 0.23245957493782043, 0.24642157554626465, 0.19176065921783447, 0.2892753481864929]","[27.376971770927394, 19.93110321835871, 24.484631709704686, 24.826606475321675, 24.975282175406868, 25.699757342671933, 47.58499715854053]","[0.19850388775189892, 0.046901592206686424, 0.10723326610251334, -0.003109491079895893, 0.05747752020295377, -0.016382056918974097]",1289.983427650631,1434.8517093856765,2444.401885702883,0.06969421197755418,0.042731903,75.99954044117646
shyness_boy.mp3,0dc4d36761761887da4e3812813bee9d33a717c476fb78e51370008b5ca61a8d,"[-78.51153564453125, 75.85466766357422, -2.7532601356506348, 29.867218017578125, -2.4690966606140137, 12.308830261230469, 6.5130462646484375, 4.7211713790893555, 3.9722132682800293, 5.800830841064453, -2.3284912109375, -0.02442469261586666, -3.632701873779297, -2.108776092529297, -3.0633254051208496, 0.3681398332118988, 0.33521783351898193, 2.386746644973755, -4.730863094329834, -2.36012601852417]","[0.295066773891449, 0.3449409306049347, 0.3134098947048187, 0.45290622115135193, 0.4777675271034241, 0.23975925147533417, 0.32709231972694397, 0.2619897127151489, 0.4528194069862366, 0.35926300287246704, 0.24971990287303925, 0.43437325954437256]","[19.672333929337604, 15.716798269921647, 19.7703705003348, 21.37796044469426, 21.451830751081673, 20.962503983139904, 46.73279710989364]","[-0.0016701511017198592, -0.040535191492751754, 0.017449984572043446, 0.003183069625932487, -0.0051986715033369366, 0.002930455512782401]",2481.886793731794,2476.6150554920036,5115.702399380805,0.11497398352844428,0.17502688,117.45383522727273
remember_summer_days.mp3,d70c188dd1408e81a8ffafba651bbe8ca20bd3dca3497d73ce958cbf871ced79,"[-101.19715118408203, 73.39041900634766, 9.079377174377441, 29.873355865478516, -6.610771179199219, 11.030027389526367, 4.78571891784668, 3.557436943054199, 4.246483325958252, 0.9854338765144348, -4.3629045486450195, -1.8632209300994873, -3.3727543354034424, -1.2426764965057373, -1.9984010457992554, -0.7156444191932678, -2.377056360244751, -0.7327823042869568, -4.749420166015625, -0.2943035066127777]","[0.4187634289264679, 0.49906396865844727, 0.3906991481781006, 0.5031987428665161, 0.47476819157600403, 0.3359837830066681, 0.41217854619026184, 0.3170773983001709, 0.43512794375419617, 0.3104778528213501, 0.33620932698249817, 0.5285430550575256]","[19.47294176043775, 15.068338519508051, 18.253784876505087, 20.10885094282907, 18.9882790686531, 18.705376725974507, 45.20648225481303]","[0.00361464167686965, -0.0988842282205674, -0.007672924744455559, 0.01879382575033123, 0.01072684351682575, -0.0058387722494765435]",2762.7110553174284,2581.177353366929,5574.382959135546,0.1391628017366486,0.15282157,95.703125
i_cant_stop_the_loneliness.mp3,9f8c1b09b4f293db09e11c81c34381949c6571c9f114ec10da1f4a3fd9c15972,"[-81.55007934570312, 68.01654052734375, -16.12386703491211, 21.906831741333008, -5.004385471343994, 7.247355937957764, -3.9777960777282715, 7.207840919494629, -2.195056915283203, -1.0296932458877563, -7.29657506942749, -3.0661919116973877, -1.0446066856384277, 5.356762409210205, 0.4409926235675812, 1.594960331916809, -3.582836627960205, 1.8100430965423584, -5.513141632080078, -0.7850372195243835]","[0.315611869096756, 0.4935643672943115, 0.3353549838066101, 0.24488863348960876, 0.2958372235298157, 0.22202466428279877, 0.336748331785202, 0.2042563408613205, 0.3148389756679535, 0.477339506149292, 0.2949645221233368, 0.4358399510383606]","[19.296286443436873, 17.02935283707032, 21.135228083980994, 22.17444063310113, 21.476505722383006, 20.162395394838573, 47.81965948955161]","[0.06797585460300577, -0.10560357072601466, -0.05712972382651558, 0.026886272357326876, 0.0011508680076963052, -0.001312260722688135]",2752.3632837378154,2487.2607626066947,5523.64159929494,0.14397569780379257,0.15352966,129.19921875
driving_my_love.mp3,f3c5614ba7419bbcbbecc18cc64b6530c1c3eb4dea959b8bd9834ea0bc41468d,"[-87.34551239013672, 84.8988265991211, -9.70539665222168, 25.17966079711914, -3.136828660964966, 16.22867202758789, 5.2720465660095215, 5.012888431549072, 1.746710181236267, 2.4751017093658447, -3.8526086807250977, -1.5872918367385864, -5.157687187194824, 1.4312071800231934, -5.177228927612305, -1.4820984601974487, -4.3674235343933105, -1.7930495738983154, -5.538595199584961, -2.235034942626953]","[0.43730032444000244, 0.5026862025260925, 0.5466862916946411, 0.4007081389427185, 0.4267258644104004, 0.3692806363105774, 0.4399378299713135, 0.2924935519695282, 0.29883861541748047, 0.4492526352405548, 0.3679013252258301, 0.5268442034721375]","[21.069779137573537, 16.41412576013552, 19.261905166891896, 19.355119895935164, 19.736386319761554, 18.29772188289825, 46.94768219815758]","[0.07785298467623575, -0.0652335379949333, -0.0045352635758098255, -0.015604544053973279, -0.010250972121585484, -0.011132323765376116]",2497.02487093674,2416.1011868060623,5053.511108776364,0.12091461276122291,0.16156623,123.046875
windy_summer.mp3,8847bb4b3cddb14663eaa09129e0660b1e60befdfe5ca6eaf58cc99d880259f0,"[-104.75355529785156, 53.43783950805664, 1.6982370615005493, 24.37855339050293, -3.0045132637023926, 14.687264442443848, 0.7833849787712097, 1.7101175785064697, 1.3872461318969727, 3.8758692741394043, -1.1917941570281982, -1.8763333559036255, -5.707192897796631, -2.8826351165771484, -6.57049036026001, -3.1118247509002686, -4.65753698348999, -1.2543368339538574, -2.9292943477630615, 1.3721867799758911]","[0.30638325214385986, 0.5538727045059204, 0.5138086080551147, 0.3776053190231323, 0.5129837989807129, 0.37974151968955994, 0.6013935208320618, 0.4671386480331421, 0.3792324364185333, 0.46097397804260254, 0.30224665999412537, 0.37930482625961304]","[21.702238180927377, 15.586498390267865, 17.842805507347418, 18.764165199840416, 19.639595073381457, 19.324132165711543, 47.82434000075184]","[0.15127008286919177, -0.06717454536633596, -0.026072950079322206, -0.010700594783752126, 0.01581812957020724, -0.006462412977147116]",3284.2352089005244,2777.5150430553545,6545.293754837461,0.18967685758513933,0.093620576,107.666015625
last_summer_whisper.mp3,0ec3f8e0d238df0938baa783e317af0911397c0d639b68da5d77ab31f72c6c9b,"[-225.30746459960938, 99.09123229980469, 40.31964874267578, 23.033388137817383, 1.3454444408416748, -0.9105367064476013, -2.3399147987365723, 1.13698148727417, 5.581443786621094, 6.725277423858643, -6.196743488311768, -3.2258076667785645, -5.790459632873535, -1.4403619766235352, -3.251836061477661, 1.3533977270126343, -0.2911604046821594, -0.7039554715156555, -5.956299304962158, -2.70216965675354]","[0.28973105549812317, 0.33164462447166443, 0.3004319369792938, 0.3465415835380554, 0.43814748525619507, 0.321135014295578, 0.3418542742729187, 0.3056550621986389, 0.45588362216949463, 0.39045190811157227, 0.24986259639263153, 0.325341135263443]","[21.219303617369263, 17.042601883772203, 22.349597763407054, 25.260592452030423, 20.60742334731952, 18.192095360601567, 46.061287820030735]","[-0.00012946030927606195, -0.0758311102744198, -0.016864502989729104, 0.029642431935491223, 0.00521762167873283, 0.0042353825464440265]",2059.507740657135,2349.623721456387,4290.11572492381,0.08212913300599846,0.120303944,78.30255681818181
anrishyness_boy.mp3,0dc4d36761761887da4e3812813bee9d33a717c476fb78e51370008b5ca61a8d,"[-78.51153564453125, 75.85466766357422, -2.7532601356506348, 29.867218017578125, -2.4690966606140137, 12.308830261230469, 6.5130462646484375, 4.7211713790893555, 3.9722132682800293, 5.800830841064453, -2.3284912109375, -0.02442469261586666, -3.632701873779297, -2.108776092529297, -3.0633254051208496, 0.3681398332118988, 0.33521783351898193, 2.386746644973755, -4.730863094329834, -2.36012601852417]","[0.295066773891449, 0.3449409306049347, 0.3134098947048187, 0.45290622115135193, 0.4777675271034241, 0.23975925147533417, 0.32709231972694397, 0.2619897127151489, 0.4528194069862366, 0.35926300287246704, 0.24971990287303925, 0.43437325954437256]","[19.672333929337604, 15.716798269921647, 19.7703705003348, 21.37796044469426, 21.451830751081673, 20.962503983139904, 46.73279710989364]","[-0.0016701511017198592, -0.040535191492751754, 0.017449984572043446, 0.003183069625932487, -0.0051986715033369366, 0.002930455512782401]",2481.886793731794,2476.6150554920036,5115.702399380805,0.11497398352844428,0.17502688,117.45383522727273
good_bye_boogie_dance.mp3,e4efc36117bffcf6debb6175aa2b49550f172274d1f77ea37ad2c072d0511959,"[-164.7248992919922, 57.10670852661133, -1.4610921144485474, 29.451038360595703, 1.0463824272155762, 8.088435173034668, 4.949215412139893, 6.5072245597839355, -1.5245952606201172, 2.6276519298553467, -1.4279699325561523, 1.6905059814453125, -1.459691047668457, -0.20294277369976044, -4.883998394012451, -0.514254093170166, -2.283423900604248, 0.04671075567603111, -6.82088565826416, -1.5973795652389526]","[0.35737478733062744, 0.4449852705001831, 0.31901025772094727, 0.5207951068878174, 0.5654739737510681, 0.39446696639060974, 0.40559491515159607, 0.3071397542953491, 0.47504955530166626, 0.34325918555259705, 0.3243638277053833, 0.46661829948425293]","[19.62777084577, 14.854529025532235, 18.07290992076161, 18.864170518743546, 19.254419959269445, 19.455987226767775, 46.57831307004691]","[0.0008745123809430784, -0.0997008045595922, -0.012292263606251918, 0.04792512959192258, 0.016616780689676452, -0.012906738678923292]",3071.0661521894385,2693.9192873176767,6171.521014990083,0.16802619485294118,0.061657686,123.046875
