file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
respeita_o_nosso_fim.mp3,6ed186f2a58716836780ec89f4fdf2ac03c6d3de785f7ec1bd682cf3e9035b9d,"[-146.25892639160156, 74.16028594970703, -5.194528102874756, -8.805441856384277, -7.640613555908203, -11.990138053894043, -16.329919815063477, -4.68162727355957, -13.673738479614258, -3.893516778945923, -7.702167987823486, -7.035388946533203, -9.753474235534668, -5.876307010650635, -10.576543807983398, -2.509044647216797, -8.264496803283691, -1.2364569902420044, -7.431890964508057, -3.871309280395508]","[0.26456722617149353, 0.3123609125614166, 0.22312787175178528, 0.2999350130558014, 0.404649943113327, 0.24470750987529755, 0.35096997022628784, 0.2658274173736572, 0.39903002977371216, 0.33238837122917175, 0.25655245780944824, 0.4018637239933014]","[23.61938333651988, 16.821738419024506, 21.238083274639738, 20.615042002862246, 20.981081303675087, 20.62616388332488, 47.96560533489522]","[0.013745480927371071, -0.18102751266379968, 0.017029605679005962, 0.0893852687772397, -0.007028795627570695, -0.021147460973354473]",2805.62110862502,2686.5957714183037,5894.547689809888,0.13112241195820434,0.1416348,135.99917763157896
carta_branca.mp3,d4fa3c23c6823cefe93b26ff8a52f752fc3b7140e97b8930d9c1bdcdd22725d4,"[-113.74627685546875, 84.83537292480469, -24.767032623291016, -4.469485282897949, -11.639418601989746, -10.113099098205566, -9.819557189941406, -6.03197717666626, -14.6422119140625, -8.438897132873535, -18.055944442749023, -11.134834289550781, -12.238651275634766, -11.373494148254395, -13.593551635742188, -11.439891815185547, -13.73573112487793, -6.392661094665527, -9.411222457885742, -5.688118934631348]","[0.2838228642940521, 0.4146052896976471, 0.5843368172645569, 0.2986184358596802, 0.23645678162574768, 0.20445522665977478, 0.28428664803504944, 0.20280714333057404, 0.23900260031223297, 0.4486958086490631, 0.2859556972980499, 0.25420498847961426]","[26.407619053264078, 17.53983144869757, 19.35207873611843, 17.673151435916697, 18.09853253695137, 20.01191842771327, 47.3345220786746]","[0.18493772120330765, -0.006926613692170247, -0.08864410418797948, -0.12430751068235006, -0.02561897169692676, 0.01411561911129869]",2302.42758624225,2382.2162286759285,4617.188747157991,0.10815051760835913,0.14273956,112.34714673913044
de_menina_pra_mulher.mp3,5cd0bc3c160e3154a5337e685b9b8f675067fbd1c759521a2d6380a67b749690,"[-78.05965423583984, 82.13147735595703, -16.091899871826172, 24.705642700195312, 0.40365907549858093, 6.127110481262207, -3.905550718307495, -1.897239089012146, -3.6197969913482666, 2.958120822906494, -5.541575908660889, -0.4675266444683075, -5.447153568267822, 6.05526065826416, -4.553682804107666, 3.2859346866607666, -3.680570363998413, 1.964875340461731, -8.167508125305176, -4.056796073913574]","[0.29857373237609863, 0.3255171477794647, 0.2570253610610962, 0.38736799359321594, 0.38345491886138916, 0.2732298672199249, 0.3479501008987427, 0.27423152327537537, 0.49502500891685486, 0.36033323407173157, 0.3295367360115051, 0.4341176450252533]","[24.04892859802814, 16.02409244839131, 20.54533322596207, 20.296354734206734, 21.11167642331277, 20.170366023873722, 48.25545804086124]","[-0.0015072350009268751, -0.08231119913234572, 0.006174400213084726, 0.05512731403815938, -0.010845473444815852, -0.00749993105956004]",2515.869113202868,2362.4372571425783,5064.544375393044,0.12583332829431115,0.21418771,123.046875
cem_mil.mp3,c2df33c99d7982b93e2088639202efb295481c7f7d0a05e5a102fa637b033a1f,"[-91.77477264404297, 76.92509460449219, -15.140694618225098, -0.18051543831825256, -5.384721755981445, -3.877965211868286, -14.840275764465332, 5.222183704376221, -10.599027633666992, -2.383329153060913, -1.193136215209961, -5.56525182723999, -5.003270149230957, -3.65559458732605, -11.650535583496094, -2.058103084564209, -10.59273910522461, 0.2372337281703949, -4.8504462242126465, 4.040593147277832]","[0.2624230682849884, 0.21987855434417725, 0.34162771701812744, 0.24028350412845612, 0.42865055799484253, 0.38242092728614807, 0.23101714253425598, 0.278813898563385, 0.21418967843055725, 0.30599626898765564, 0.1639803946018219, 0.2682148814201355]","[21.525667134676013, 17.918985383507614, 22.22213324660595, 21.411235195354326, 21.770853524591026, 21.57528685371109, 50.11801862029541]","[0.160319722667754, 0.10545640552594539, -0.028808469582787502, 0.03309117605975988, -0.006055027977560768, -0.019673048939747587]",2600.082518253505,2447.742870557322,5277.026423876499,0.13034690644349844,0.22081918,129.19921875
potpourri_pagina_de_amigos__tentei_te_esquecer.mp3,37c9f91ba8fd08c189721887a823732fe12c1849d8c1266823fc88ae2f367aeb,"[-97.73223114013672, 109.15721893310547, -0.9090863466262817, 21.13104248046875, 2.2286624908447266, 8.675833702087402, 1.7126097679138184, 6.727626800537109, 0.4551365077495575, 6.7301177978515625, -0.5470826625823975, 2.5734922885894775, -6.033440589904785, -1.1313226222991943, -6.162370681762695, -3.3624958992004395, -7.2451958656311035, -2.3210678100585938, -4.5243964195251465, -2.3759047985076904]","[0.36984968185424805, 0.3415740728378296, 0.32483065128326416, 0.4863249659538269, 0.6580597758293152, 0.4630607068538666, 0.344524621963501, 0.22445562481880188, 0.27473512291908264, 0.26578035950660706, 0.3244127333164215, 0.46176496148109436]","[27.738951356439987, 17.060106894783704, 18.25579219758388, 17.576671661495528, 18.95598166144336, 19.867047994698915, 48.859908252145736]","[0.2142400759504637, -0.24148128305334546, 0.0687355800508736, 0.21889200562794311, 0.052461451787544106, -0.053343179446483605]",1774.2264508227674,2268.7197585062336,4023.0090067482583,0.05046152404218266,0.2201385,151.99908088235293
ficha_limpa.mp3,6ad53fe630686f0cedeef1c94387b0b9edd83b2ef4a6d69efc32eb1ec7244168,"[-132.30531311035156, 89.13572692871094, 12.76854133605957, 26.70853042602539, 0.26789188385009766, 6.977060794830322, 0.34429511427879333, 7.420212745666504, -4.381612777709961, 1.3197976350784302, 0.6107654571533203, -1.0058095455169678, -6.714573383331299, -0.6529451012611389, -7.387876033782959, 1.7079970836639404, -5.633662700653076, -0.7017691135406494, -5.999109745025635, -3.2173638343811035]","[0.2572380602359772, 0.35700902342796326, 0.3076817989349365, 0.33399462699890137, 0.43494296073913574, 0.3210310935974121, 0.3593757748603821, 0.23841986060142517, 0.33275631070137024, 0.36971819400787354, 0.24148401618003845, 0.27355894446372986]","[26.902585873775696, 18.141040967328614, 21.511992721131918, 21.489860958325497, 21.739051127021686, 20.469499726903084, 48.58676761837253]","[0.19170298710933073, -0.09784561749039286, -0.08476253636267879, -0.021859494110370876, -0.007313499238091673, 0.004450515902045418]",2223.2842706132956,2426.496816793826,4781.037756385449,0.0869877581994969,0.18706112,135.99917763157896
ele_nao_tem.mp3,8faa300e0b0748e99176aa6437c45af93e26ad9305e06973be651b54ac056c84,"[-114.57051849365234, 65.76847076416016, 9.988608360290527, 15.725118637084961, -9.67067813873291, 8.9855375289917, -5.001461505889893, -3.6793224811553955, -6.30014705657959, -4.3980231285095215, -7.336626052856445, -0.9323307871818542, -8.423604011535645, -1.2330118417739868, -5.326128959655762, -0.5809620022773743, -7.452597618103027, 0.5350940227508545, -0.6981095671653748, 0.6757707595825195]","[0.2612105906009674, 0.19578294456005096, 0.28554028272628784, 0.25099268555641174, 0.28073063492774963, 0.23824314773082733, 0.3509589731693268, 0.46679478883743286, 0.35633668303489685, 0.40464726090431213, 0.27899008989334106, 0.3435465693473816]","[24.659583719935416, 17.832841106312376, 21.932540471718934, 21.297382122076673, 21.39104375142128, 20.125492583872216, 47.89573846246715]","[0.106773707343183, 0.017715149839549284, 0.04805694126859937, 0.018464020728753364, 0.0013913015124507406, -0.0025756374606466254]",2764.8230346398987,2624.5256325211453,5738.673632358988,0.13488618360584365,0.17413773,103.359375
ela_e_demais.mp3,0d3c7829eb0cb7b69340f5a5716a64c5cddd9512b9a2d174bf382292fe50beaf,"[-108.7737045288086, 94.98208618164062, 5.553553581237793, 10.26575756072998, -3.311196804046631, -3.554759979248047, -2.89802622795105, -2.496626853942871, -9.275189399719238, -0.22075405716896057, -9.311751365661621, -3.0526018142700195, -6.6716628074646, -2.5641403198242188, -7.761186599731445, -4.149404048919678, -6.760365962982178, -1.9941580295562744, -5.638444900512695, -4.532870769500732]","[0.2686818540096283, 0.20072489976882935, 0.3571336269378662, 0.2346630096435547, 0.27764537930488586, 0.24503163993358612, 0.3957842290401459, 0.5830138325691223, 0.28238627314567566, 0.2645280659198761, 0.2075808197259903, 0.3008982539176941]","[26.7182485606224, 18.657085442184005, 20.774241244682607, 18.649516739091755, 19.879775821783536, 20.549400631305975, 47.72777229437353]","[0.2512872098414906, 0.12331643868348702, 0.13225118196302668, -0.013452891134239045, 0.036037669414699665, -0.016342372567289775]",2171.2616318038054,2490.163801246425,4658.413497877564,0.09207616280476007,0.16714469,143.5546875
diz_pra_mim.mp3,40f3c9521b01dcbe77dbca7155118f42bd07803b2fdfd3d033003308185390ad,"[-101.88704681396484, 120.1043472290039, 15.910204887390137, 31.541351318359375, 8.423585891723633, 3.882598876953125, 1.2249189615249634, -0.9279112219810486, -7.213559627532959, -0.4867304265499115, -2.6796021461486816, -1.1495718955993652, -3.582876682281494, -8.905098915100098, -6.291180610656738, -1.8063571453094482, -8.81737995147705, -0.5532751679420471, -6.182596683502197, -6.236271381378174]","[0.2191208451986313, 0.28170883655548096, 0.17054075002670288, 0.25488194823265076, 0.4014245867729187, 0.2947975695133209, 0.3980567753314972, 0.28807002305984497, 0.37997567653656006, 0.31397950649261475, 0.22534281015396118, 0.31548893451690674]","[24.196618704532238, 19.626699006034084, 22.2647553700966, 21.32487435485026, 22.181639880332966, 21.980093342388862, 45.51743216693218]","[0.06358795208260516, -0.2578936390311986, -0.0355046627143452, 0.0818432560486101, 0.022613789053021745, -0.002373807762616873]",1802.2465361234574,2074.545488234883,3687.486035609762,0.069571385811726,0.28770992,95.703125
saudade_da_minha_vida.mp3,e4071080615923c7c182e25289cc722fd9d6fab6161f952a3484f46acbaf1a40,"[-225.13796997070312, 95.23003387451172, -24.883651733398438, 12.257078170776367, 1.3171197175979614, 1.8436307907104492, -5.796501636505127, 3.4536356925964355, -7.340001583099365, 3.32324481010437, -4.410923480987549, -4.641021251678467, -9.222363471984863, -1.2798700332641602, -8.344855308532715, -2.7396769523620605, -7.473355293273926, -2.373988628387451, -3.6341967582702637, -0.01751132681965828]","[0.35925766825675964, 0.24608935415744781, 0.32959434390068054, 0.3698671758174896, 0.27829650044441223, 0.3397994041442871, 0.31532901525497437, 0.5107675790786743, 0.29775890707969666, 0.23629271984100342, 0.28267332911491394, 0.264164537191391]","[21.626646166546983, 17.431340872912475, 19.335373560815825, 18.48976449592981, 19.13293506181838, 21.752726605747394, 50.82595583163937]","[-0.03496688519785316, 0.10149413365080247, 0.06212919862903412, 0.04477051130478659, -4.350138465528677e-05, 0.005711373049317505]",2276.602341512238,2254.4750400839016,4755.046246885884,0.11311307263448142,0.047169678,103.359375
