file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
this_love.mp3,5fa61fc0d6a3c1049669c214822b064663d04d89216877c5bd8604b693104e3d,"[-84.03678894042969, 91.0751953125, -20.900897979736328, 26.25547218322754, -3.7741246223449707, 6.290307521820068, -5.49078893661499, 3.3539798259735107, -2.455686569213867, 3.944467782974243, -2.482002019882202, 1.0258135795593262, -5.948768138885498, 2.7698612213134766, -0.7525231242179871, 2.2601823806762695, -0.6366870403289795, 3.9201743602752686, -0.4236133098602295, 2.0688674449920654]","[0.41754764318466187, 0.3188287019729614, 0.440360963344574, 0.4723518192768097, 0.33370113372802734, 0.4122884273529053, 0.46989965438842773, 0.5437975525856018, 0.49239015579223633, 0.4168017506599426, 0.3567824363708496, 0.43444833159446716]","[18.740100281948504, 15.91327069602619, 19.364889571443097, 20.213328484440474, 19.466729002213334, 20.620565767135133, 49.58844663259867]","[-0.000758760403544319, 0.01444806597034167, 0.030224272342623638, -0.005883875816928269, -0.015585435519184, -0.0007485101275555114]",2291.8368438687567,2260.5497929998924,4790.546032223539,0.10880848793053406,0.1809181,95.703125
sunday_morning.mp3,0204ab92c1f87b02e446ae271762926b55195e34f0e24983f16b2559e3825740,"[-134.93142700195312, 94.56574249267578, 15.747644424438477, 21.809337615966797, 4.7144856452941895, 11.075637817382812, -4.332981109619141, 1.125126600265503, -4.271873950958252, 2.800638437271118, -1.3877737522125244, 3.3193109035491943, -2.6316568851470947, 2.616913080215454, -1.6082638502120972, 2.409302234649658, -2.9034838676452637, -0.3140188753604889, -5.195683479309082, 5.567945957183838]","[0.3957793116569519, 0.31501123309135437, 0.4575479328632355, 0.3884969651699066, 0.46070772409439087, 0.37145692110061646, 0.3475402295589447, 0.5156253576278687, 0.3269837200641632, 0.35148724913597107, 0.2508954107761383, 0.30100810527801514]","[18.751810738902357, 17.1273846353125, 21.238984574196518, 19.878249725138666, 19.876864095686518, 18.167918224986657, 46.3078641038315]","[0.06475576599811521, 0.04943258144606443, 0.023123238983941568, -0.008099782523186008, -0.006042735303330938, -0.005090338926704302]",2110.8423953966803,2387.138052032244,4541.972535313467,0.08071946654895511,0.19372937,172.265625
animals.mp3,ec120c9725066730a2aaad60932f417219e79b850ba54d592ae6d352345a7e79,"[-115.02909851074219, 60.50537109375, -21.035078048706055, 29.406497955322266, -3.469468832015991, 3.934828519821167, -5.454975605010986, 4.161986827850342, -2.4438507556915283, 0.5400732755661011, -1.867637276649475, -3.683037519454956, -0.9485331773757935, -3.2673914432525635, -4.995256423950195, -3.21846079826355, -13.088164329528809, -1.9881293773651123, -5.197460651397705, 8.184118270874023]","[0.28934741020202637, 0.2870124876499176, 0.3594187796115875, 0.33007287979125977, 0.5599532723426819, 0.30874890089035034, 0.36896538734436035, 0.3321641981601715, 0.2627233564853668, 0.21006447076797485, 0.2566738724708557, 0.43210363388061523]","[24.42868437170904, 17.176722531232507, 22.13655965891874, 21.555570038694075, 21.14807212177143, 20.06623404898199, 48.27475908779929]","[0.1309124440510404, -0.004294633117743973, 0.06055373365229606, 0.07659082798195004, 0.014068695079956206, -0.01421992722325655]",2629.3541420863494,2382.5446323254178,5173.768714928406,0.12677247605456657,0.15453242,129.19921875
misery.mp3,48ce7637bb6f737ff04158f30b586d67feee9f30ce788cf8768e64cdfb4cced3,"[-74.53730010986328, 49.88045883178711, 1.5360572338104248, 32.370941162109375, 7.800445079803467, 9.732352256774902, -0.3360497057437897, 12.644721031188965, 3.62917160987854, 3.9589028358459473, 2.9781365394592285, 3.946843385696411, -0.33284634351730347, 2.596740961074829, -1.092624545097351, 2.862528085708618, -4.1832594871521, 5.281945705413818, 1.7575362920761108, 5.303835868835449]","[0.41016900539398193, 0.3774048686027527, 0.4327007234096527, 0.46464458107948303, 0.6118016242980957, 0.41031208634376526, 0.4409174621105194, 0.44321656227111816, 0.4228869080543518, 0.41187506914138794, 0.4038153886795044, 0.4701462984085083]","[16.205363691526507, 14.567184543543004, 18.610279251227073, 18.133836188642157, 19.73813100780318, 17.71711895162291, 47.16111179412071]","[0.0022195362274467327, 0.01261898691343317, -0.00832899183470318, -0.0032383017105001442, -0.0024158628680554886, -0.007159054877622849]",3033.114136554119,2744.998215520602,6247.095558001161,0.14099536813080496,0.20488425,103.359375
dont_wanna_know.mp3,a1d0a85e0ca3191fb84424e287c059d13565fc3fe5d9f5033e68b2e5904721cc,"[-117.6771469116211, 87.98121643066406, 3.233773708343506, 19.676637649536133, -11.255148887634277, -3.319344997406006, -15.437835693359375, -6.167272090911865, -21.42982292175293, -11.429167747497559, -23.089323043823242, -12.738761901855469, -13.833645820617676, -6.651612281799316, -3.445011615753174, -3.965261697769165, -11.149641036987305, -3.3865787982940674, -11.147221565246582, -7.375982761383057]","[0.1683831512928009, 0.23779511451721191, 0.7205505967140198, 0.34337976574897766, 0.1723427176475525, 0.14928817749023438, 0.2879091501235962, 0.44113820791244507, 0.2558707296848297, 0.23719985783100128, 0.19940780103206635, 0.35619911551475525]","[25.14951301686099, 18.987428242598245, 22.461865045587352, 21.165375558188433, 19.675170741745895, 20.337572975997126, 47.970863046120634]","[0.2331062514746533, 0.05219003461942465, 0.11069888366680392, -0.12859539413859283, -0.039716380639809264, -0.04490762266500538]",2223.6912630319953,2362.368395755006,4596.172207575464,0.08556713186919504,0.16883682,99.38401442307692
moves_like_jagger.mp3,e1889407673a14798265b3f5a9fbaf5956a12ac9dd8cfa8bedc908eda239ff34,"[-149.90945434570312, 88.05866241455078, -29.59837532043457, 29.73027229309082, -7.13677978515625, 5.223282337188721, 2.5965850353240967, 2.80930233001709, -8.518224716186523, -5.174295425415039, 1.6871262788772583, -1.1483489274978638, -3.7304112911224365, 1.0326988697052002, -3.573749303817749, -6.656343936920166, -8.024510383605957, 5.439699649810791, -0.42528438568115234, -0.22123977541923523]","[0.33987000584602356, 0.3416486382484436, 0.40761297941207886, 0.25654882192611694, 0.3435211479663849, 0.3028408885002136, 0.357801228761673, 0.26684656739234924, 0.31105658411979675, 0.34558868408203125, 0.344957172870636, 0.5061342120170593]","[22.518689607513412, 15.92129466839879, 18.75937541520191, 23.218841132560357, 22.201008482598574, 21.72245871869081, 48.04000920582622]","[0.05344827086114531, -0.03241530632474045, -0.04394670573838834, -0.05231838786164332, -0.012847531599221982, 0.018029415458455184]",1986.1254724811527,1939.5349991950516,3827.7851872399865,0.09632934948239164,0.2105327,129.19921875
what_lovers_do.mp3,c0ba605bf70e82452dee1899d837ef1f44c37729cf34bca2380ece174a088cf2,"[-225.40145874023438, 71.14666748046875, -22.166732788085938, 4.3661041259765625, 2.440850019454956, 1.0984361171722412, -14.889592170715332, -10.41901683807373, -9.16344165802002, -4.000071048736572, -4.851928234100342, 7.926632404327393, 2.3406128883361816, -2.7539308071136475, -2.487243413925171, -2.888035535812378, -6.855842113494873, -2.3594377040863037, -11.75405502319336, -5.885342121124268]","[0.34377336502075195, 0.259186327457428, 0.42642414569854736, 0.27309897541999817, 0.250773549079895, 0.32508939504623413, 0.17368684709072113, 0.18536512553691864, 0.15651835501194, 0.2684498429298401, 0.4076952338218689, 0.23347929120063782]","[20.85385417212159, 18.000619107529833, 23.830582642646128, 23.3461927340242, 26.060249680123004, 24.92992719075433, 48.816369294580774]","[-0.08142994714223468, 0.18227643499780696, -0.023624688585147623, -0.1108860244690485, -0.0015939865005128095, -0.009913084920313339]",2399.767557160479,2159.9212898095398,4634.00531213719,0.12022111733262383,0.11368036,107.666015625
maps.mp3,d473b1be913dbd21242880538ef9e3e1e429f20149c593c7801cf56997f2889f,"[-147.9366912841797, 71.29586029052734, 2.313103437423706, 23.611955642700195, -2.082310914993286, 11.1423978805542, -7.890328884124756, 4.9253716468811035, -6.362516403198242, 0.9636446833610535, -4.209609508514404, -4.8145833015441895, -5.751880168914795, -10.196236610412598, -8.382316589355469, 3.2714178562164307, -0.890542209148407, 9.416171073913574, 2.0552029609680176, 3.7611944675445557]","[0.22089406847953796, 0.31890594959259033, 0.20548708736896515, 0.2752436101436615, 0.261366605758667, 0.1606803983449936, 0.22620798647403717, 0.23377878963947296, 0.5329491496086121, 0.25567200779914856, 0.1715272217988968, 0.21356822550296783]","[17.876052516966233, 17.380964950299955, 23.0039825938346, 24.640596775654373, 25.404585105225348, 21.797353267117803, 48.02301121862735]","[-0.04590170752841878, -0.13148601232002188, -0.03812946005646542, 0.07736679727943963, -0.0022392537424139503, -0.009316920879118213]",2548.646303007831,2509.2627622030927,5431.517156358843,0.10967469584462074,0.117317624,117.45383522727273
payphone.mp3,04e5b4aa66c7404f84055445950684c897e9724c054836f1411221e511d16dc2,"[-142.49923706054688, 79.20521545410156, -10.157355308532715, 10.075860977172852, -14.071895599365234, 1.12626051902771, -10.38891887664795, 5.92952823638916, -12.286820411682129, -0.2709982097148895, -3.6349873542785645, -3.0861895084381104, 0.594235897064209, -5.227814674377441, 0.6111801862716675, 0.8632208704948425, -12.387197494506836, -1.4159082174301147, -7.336050033569336, 3.871018648147583]","[0.2606251537799835, 0.3723233938217163, 0.2396678626537323, 0.3318925201892853, 0.34056931734085083, 0.2437874972820282, 0.42063209414482117, 0.19556351006031036, 0.20247596502304077, 0.19939778745174408, 0.3060741126537323, 0.4180692732334137]","[20.19058200250678, 17.643203698015935, 23.670542524290564, 24.575123307172962, 25.442418119965005, 25.34867669955877, 49.5594569658792]","[-0.020963216433053208, -0.18887620431544005, 0.05554615841110179, -0.011359482346212361, 0.005485869386643902, -0.014171198232012195]",2330.6240713411285,2288.58369929442,4730.563061599023,0.10977144507062693,0.13271569,112.34714673913044
one_more_night.mp3,131715319ae5dd5a7592356546d975198f1013b2cadd296120cb3148aaae55b9,"[-82.98627471923828, 45.196224212646484, -15.559730529785156, 10.698986053466797, -5.559122562408447, 3.9724206924438477, -7.456137657165527, 2.6187002658843994, -7.298456192016602, 0.671715497970581, -3.573975086212158, -0.25792038440704346, -3.023668050765991, -5.099978446960449, -4.347309112548828, -0.8689378499984741, -8.048059463500977, 5.005382537841797, 5.529110431671143, 10.56868839263916]","[0.3990846872329712, 0.25755584239959717, 0.308420866727829, 0.3543708026409149, 0.3772018551826477, 0.6634848117828369, 0.32241758704185486, 0.27932247519493103, 0.30252984166145325, 0.3196948170661926, 0.24394072592258453, 0.24370026588439941]","[17.330784670138087, 16.898123093627586, 21.026319132682087, 20.6611494066297, 20.384856689034127, 18.89663700233737, 47.826887110545684]","[-0.016059177136665156, 0.10102927837951482, 0.007091752144265681, 0.03297253847251927, -0.0011343207341487243, -0.022066239592415243]",3028.737214747601,2659.909262726999,6154.596117332624,0.14838118892705107,0.21222056,92.28515625
