file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
bad.mp3,313c9db877a752cb3c89a4fd295c8a694195224f1445e0f94e44f15407ba7509,"[-86.4410400390625, 75.51957702636719, 22.92608642578125, 23.503740310668945, 14.483628273010254, 14.34885025024414, 7.896317958831787, 14.057795524597168, 2.5255489349365234, 9.516288757324219, 1.3760099411010742, 4.961209774017334, 1.8986060619354248, 4.2550883293151855, 2.0962042808532715, 4.187930107116699, 0.5224159359931946, 2.424701452255249, -1.8799270391464233, 1.816319465637207]","[0.5702069997787476, 0.578582763671875, 0.5459926128387451, 0.555210530757904, 0.5153206586837769, 0.48150119185447693, 0.3713191747665405, 0.36097460985183716, 0.4371969997882843, 0.441470205783844, 0.5159414410591125, 0.5554481148719788]","[17.594506015424972, 14.848034547916374, 15.200213173171624, 14.440728789995553, 15.369949491888995, 15.940809019558252, 46.27818136690769]","[-0.050500425073787894, 0.0015858768315569554, -0.00871929279009592, -0.0024326556036397373, 0.03267073617129661, 0.0077127902864063515]",2651.2189583753734,2893.9589943563246,6168.079369134578,0.08624286474458204,0.19132276,112.34714673913044
music_and_me.mp3,353f8a18a3116f6f9c02a08ed04574bc393fc70f7be8c84b2a32fe99640f9aa1,"[-355.7431640625, 76.22600555419922, 13.09196949005127, 37.54198455810547, 11.116045951843262, 6.636683940887451, 0.2644866406917572, -5.795151710510254, -12.32955551147461, -3.9832730293273926, -16.670690536499023, -4.099558353424072, -3.5473482608795166, 1.510367512702942, -6.845725059509277, -0.05384708568453789, -0.11940579116344452, 2.757394552230835, 0.02512465976178646, 1.7838554382324219]","[0.1340053528547287, 0.06280947476625443, 0.06625916063785553, 0.16062790155410767, 0.3001493513584137, 0.169757679104805, 0.24668097496032715, 0.16643042862415314, 0.25620198249816895, 0.12536278367042542, 0.1719902604818344, 0.3620052635669708]","[19.025860577459447, 20.360051374139314, 25.87215400534005, 26.40337069321678, 27.438574058642384, 27.739113670089644, 44.80932862422412]","[0.04374747929077666, -0.10934240055633881, 0.09735219486525566, 0.1327233571460435, -0.03789794625119107, -0.01782421677953803]",1541.6016328953535,1856.543841645004,3201.9306383634867,0.06771576589106038,0.040304307,143.5546875
you_are_not_alone.mp3,fa10b7911303e3e3255317c13714db7ee39b66f4d7bc1b63e48b24987c0d4945,"[-261.5687255859375, 115.08267211914062, 30.837745666503906, 9.578659057617188, 2.1765859127044678, 0.6371374726295471, -4.608973026275635, -2.67912220954895, -6.667426109313965, 2.0541045665740967, -3.1431729793548584, -1.8912478685379028, -7.225115776062012, -3.2923009395599365, -4.8131489753723145, -4.648971080780029, -3.7194430828094482, -2.246445417404175, -7.798778057098389, -0.06747497618198395]","[0.297462522983551, 0.42499029636383057, 0.2251150906085968, 0.2685837149620056, 0.33335939049720764, 0.23072125017642975, 0.5039187073707581, 0.22728540003299713, 0.18466520309448242, 0.14907555282115936, 0.31116774678230286, 0.533462643623352]","[20.406694058121303, 21.361490722690014, 25.188271290860513, 24.9260635844413, 24.637148098513375, 24.68569238303038, 50.88020217920691]","[-0.05517297474161626, -0.4394548097531664, 0.013363870575659294, -0.106827912599154, 0.01542948547391289, 0.0020916245651760083]",1512.0057808644544,1936.3286785696098,3097.881267535797,0.060828052438080496,0.08415142,117.45383522727273
billie_jean.mp3,436a47b78e4e38fae6025ff15672ac0ad4526670e6cea7c71b24591a1d185c43,"[-201.09765625, 56.90460968017578, 60.16682052612305, 39.92919158935547, 20.666635513305664, 21.0036563873291, 12.041518211364746, 10.369415283203125, 7.880391597747803, 10.08236026763916, 0.8853244185447693, 2.9520986080169678, -0.5250499844551086, 2.365227222442627, -0.18567390739917755, 3.8430614471435547, 1.141815423965454, 5.794741153717041, -1.692787528038025, 0.1329512894153595]","[0.5013598799705505, 0.5070444345474243, 0.5340078473091125, 0.51031094789505, 0.4641617238521576, 0.4540857970714569, 0.42490649223327637, 0.43154415488243103, 0.38694530725479126, 0.39705613255500793, 0.4065750241279602, 0.4437689185142517]","[20.339879725929787, 15.634922491124431, 16.283164825498872, 15.225270501605703, 14.998644072416258, 14.511854818533859, 43.23026750003192]","[0.018997000753325912, -0.05813801082910511, -0.04749715682796731, -0.04054185511521294, 0.01900777060322862, -0.021603746808764025]",2641.2482309037614,2881.3037013547164,5684.6239591899675,0.08950059258900929,0.18544152,117.45383522727273
beat_it.mp3,fc277f8b0d92187be8c2e2c4305e1c029609a608b42e18cf9c1f8b8dcdde5a30,"[-181.77597045898438, 60.3094596862793, 1.0951176881790161, 24.519760131835938, 6.480502128601074, 12.72990894317627, 0.6240384578704834, 9.361957550048828, 2.051645278930664, 4.6865234375, -0.7026798129081726, 0.6541607975959778, -2.6998772621154785, 2.932023048400879, 2.39241361618042, 3.425475597381592, -0.17682872712612152, 2.9892919063568115, -1.7733334302902222, -3.9687559604644775]","[0.3129260838031769, 0.3637276887893677, 0.46920931339263916, 0.4476239085197449, 0.45440348982810974, 0.4145394563674927, 0.40364259481430054, 0.4850693345069885, 0.4469062089920044, 0.46879592537879944, 0.4469987154006958, 0.45984065532684326]","[21.017490291695584, 15.520458177061311, 19.768811389677943, 18.67475155070536, 18.93172297147513, 19.792074349599623, 49.12494606126911]","[0.05446999112727322, 0.008520508549802568, 0.07430115499859528, 0.015602322527417842, 0.026068122881520033, -0.028383241829948176]",2890.3825337137823,2646.3954994418973,5867.547853074207,0.13107857246517027,0.10073498,135.99917763157896
rock_with_you.mp3,972236fb93af1482861416dd2755e3704f9a18ab2eb123687e65f887bb227550,"[-140.0189971923828, 92.1348648071289, 23.947385787963867, 33.556270599365234, 14.098291397094727, 8.714447021484375, -2.4640934467315674, 4.5807952880859375, -1.7189695835113525, 3.2306101322174072, -2.866215944290161, 1.4269660711288452, -6.286130905151367, -0.08589933067560196, -1.3458843231201172, -0.12984232604503632, -7.083865165710449, -0.5601933002471924, -2.1313977241516113, -2.460320472717285]","[0.39027440547943115, 0.4350956678390503, 0.3548179566860199, 0.420867919921875, 0.3917263448238373, 0.41639822721481323, 0.322473406791687, 0.3030003309249878, 0.4658221900463104, 0.40385007858276367, 0.46177929639816284, 0.37465545535087585]","[19.005858137356316, 14.764080885798004, 19.767002820271433, 18.398392063874667, 18.799753092209087, 17.319235598825816, 46.86985656393046]","[-0.08024117292196675, 0.005159768520474236, 0.002731283633585677, 0.011199016729513685, 0.005562137049670257, -0.006639843343486036]",2248.2401564475595,2565.5862265924166,4973.278260600087,0.0909280215992647,0.1424217,112.34714673913044
black_or_white.mp3,6abb111c5385fdb568188b3f92f409e2c9cc31bd0b9dff70778d1d68746f486f,"[-34.849021911621094, 54.8813362121582, -27.549121856689453, 18.528091430664062, -5.181244373321533, 0.05977344885468483, -6.623773097991943, 1.1903752088546753, -8.163457870483398, 4.252099990844727, -5.356353282928467, 1.0251412391662598, -4.9189066886901855, 0.6551305651664734, -4.630572319030762, 4.9633049964904785, 2.1262290477752686, 5.817263603210449, 0.20773622393608093, 1.2369555234909058]","[0.3885868489742279, 0.37767523527145386, 0.37091323733329773, 0.4517862796783447, 0.6072908043861389, 0.3872755467891693, 0.40431827306747437, 0.3825007677078247, 0.635066032409668, 0.5096850395202637, 0.45848801732063293, 0.5633213520050049]","[21.72550270921528, 15.472780415404033, 17.03381405620921, 17.41562708805341, 17.449031671918807, 17.968882918353476, 46.65251168591119]","[0.04043506355728729, -0.06356877539875429, -0.006205602932502915, 0.07911154724536423, 0.009669694574188543, -0.006736595177483783]",3068.8866447488513,2535.752691545175,5976.997191249033,0.16744456571691177,0.18628407,117.45383522727273
ben.mp3,7b54ad794ead3e8f080eef42dca18bf26ab28667b9505b2d93e60f54c9f209bb,"[-293.3882751464844, 115.05650329589844, 26.932947158813477, 35.29532241821289, -0.4548584520816803, 9.527098655700684, 8.033981323242188, -5.567234516143799, -10.941205024719238, 0.7744182348251343, -9.122720718383789, 8.529118537902832, -5.901951313018799, -4.394867420196533, -12.759551048278809, -6.927369117736816, -0.7706101536750793, 1.680158019065857, -0.12619179487228394, 3.977799415588379]","[0.3990066945552826, 0.2227640300989151, 0.1260611116886139, 0.10200553387403488, 0.24203556776046753, 0.5852315425872803, 0.34015223383903503, 0.22393961250782013, 0.12480825185775757, 0.23172776401042938, 0.2374504655599594, 0.19807720184326172]","[24.188501404924466, 20.989226618844018, 23.649431707022586, 25.056525093614646, 27.32617686668893, 26.539908461708098, 47.428455733662275]","[-0.010089563960140395, 0.27225008073259227, -0.23838741219733722, 0.08546712354976002, -0.05894204592520732, -0.023698068967708315]",1334.6163283831327,1885.5892947862374,2661.1839081849844,0.04720039485777864,0.06919934,135.99917763157896
remember_the_time.mp3,343f052e711f8499fe4a2b81213fa3d1ba550e79753662771d17817f940f791a,"[-99.21620178222656, 92.75572967529297, 6.637355804443359, 25.677915573120117, 4.929370880126953, 8.713412284851074, 2.1630454063415527, 5.07376766204834, -0.5254140496253967, 5.276679992675781, -3.0418429374694824, 4.6058220863342285, -3.0681753158569336, 1.1611851453781128, -3.1659116744995117, -0.995771586894989, -4.7863030433654785, 0.08615022897720337, -5.711957931518555, -0.11778434365987778]","[0.49769818782806396, 0.4236111044883728, 0.44028234481811523, 0.5790045261383057, 0.5191486477851868, 0.5177072286605835, 0.4439639151096344, 0.424763023853302, 0.4175094664096832, 0.3968806266784668, 0.5070927739143372, 0.47339797019958496]","[21.106101868485798, 15.24565075741322, 16.85761437692562, 16.688002540394418, 17.529858302020415, 17.672759346368593, 47.527510671347166]","[-0.056218444345827706, 0.02351565878220095, -0.022432985422908048, 0.044035625748189165, 0.008256052731675501, 0.006240956639440667]",2309.447162159103,2480.5168659371097,5028.536259795859,0.09267782205398607,0.1886166,107.666015625
dont_stop_til_you_get_enough.mp3,121366e88dda4561aa362399d23d037fe0711b8a12327c8f8725b004b5958eff,"[-191.48846435546875, 53.43093490600586, 15.810285568237305, 28.639022827148438, -2.541384696960449, 11.425456047058105, 0.46534252166748047, 4.47074556350708, 3.7785301208496094, 7.781539440155029, -5.313458442687988, -1.1070517301559448, -3.449934244155884, 1.8553941249847412, -4.209110736846924, 0.7755120396614075, -0.2991250455379486, 1.8768731355667114, -4.273271083831787, -0.9670763611793518]","[0.39736244082450867, 0.40267184376716614, 0.3071582317352295, 0.37597230076789856, 0.4110698997974396, 0.40969210863113403, 0.6095682382583618, 0.4484403133392334, 0.46492940187454224, 0.45893821120262146, 0.4370840787887573, 0.49982723593711853]","[18.917731309734187, 15.297267546643269, 16.600305208995323, 17.094270891891174, 17.647225638555305, 17.506915571226646, 47.42893657263076]","[0.02037949198006821, -0.07219416628285831, 0.04567686948008349, -0.02573075928457158, -0.019895899814638317, 0.010293694531282663]",3245.6021090644035,2761.6010409694327,6397.952979120308,0.16456892172987617,0.06266834,117.45383522727273
