file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
caras_e_bocas.mp3,c6dccc32d04966dd043d88344bc656643ab04a9e1983403c4f2d81597cc44924,"[-42.80866241455078, 76.60768127441406, 30.169902801513672, 30.496362686157227, 6.9312567710876465, 15.494908332824707, -6.13515567779541, 6.84528112411499, -2.9096293449401855, 2.287864923477173, 3.6186447143554688, 2.179424285888672, -0.9572891592979431, 1.1936930418014526, -5.278733730316162, 0.5931364893913269, -5.594492435455322, 0.9049002528190613, -3.181042432785034, -0.7383641600608826]","[0.4022659361362457, 0.3251803517341614, 0.47396230697631836, 0.3486758768558502, 0.3844035863876343, 0.503470778465271, 0.40872859954833984, 0.43760162591934204, 0.33585840463638306, 0.43314462900161743, 0.37928149104118347, 0.3014942705631256]","[22.15558836467326, 15.921217394949318, 19.890636489636464, 19.354671004736492, 21.451934942138827, 20.139590501916846, 46.82820010059485]","[0.02350598649673194, 0.08115791051049097, -0.005322375735585424, -0.01761431387559336, 0.0019968461139166396, -0.0023926467715470992]",2541.3654511438904,2857.357552502503,6084.596540610488,0.09913734459655572,0.28596818,172.265625
minha_pequena.mp3,a1f30cea426adcde1361780fc9533c674d75ca8ed90389e3fe18f83b0f98b60d,"[-19.126628875732422, 83.58902740478516, 17.14444351196289, 21.555313110351562, -0.6429210901260376, 10.750615119934082, -0.436194509267807, 7.878592014312744, 0.9119985699653625, 4.736564636230469, 4.4099931716918945, 4.937513828277588, -0.5858554244041443, 1.4708582162857056, -4.4837775230407715, 3.1344990730285645, -3.4231653213500977, 3.622941732406616, -1.4832565784454346, 1.3949074745178223]","[0.3310790956020355, 0.2523832619190216, 0.3642443120479584, 0.4039313793182373, 0.5404143333435059, 0.4571925699710846, 0.34722253680229187, 0.3924993872642517, 0.27210888266563416, 0.30743294954299927, 0.2327556014060974, 0.337936669588089]","[25.33404456207434, 16.39190028745074, 20.23516474596828, 20.284626912762334, 20.72598715511711, 19.393546525989596, 46.83215837291625]","[0.13415548031259894, 0.11792152698317024, -0.03110488174532209, 0.11623055491619513, 0.007345615282207756, 0.006200455172036439]",2435.198377135545,2734.851112490415,5659.157446515818,0.09394689979198917,0.3003684,161.4990234375
evita_esse_sofrimento.mp3,374891e61fad1e865eb77569e0e0b0479145a8792916464db3eea7e0df30e1d9,"[-45.9582405090332, 80.68538665771484, 22.03236961364746, 19.122278213500977, 12.560260772705078, 14.605024337768555, -0.7559319138526917, 0.45918434858322144, 1.258979320526123, 1.4925309419631958, -0.5149869918823242, 3.7942302227020264, -2.586585283279419, 2.028687000274658, -0.3743521273136139, 5.668144226074219, -1.6518367528915405, 1.9112741947174072, 3.0454089641571045, -1.042446255683899]","[0.22320903837680817, 0.194393128156662, 0.22919923067092896, 0.27292874455451965, 0.48202118277549744, 0.2990247905254364, 0.2631814777851105, 0.3471413552761078, 0.3310551941394806, 0.3560115694999695, 0.27124547958374023, 0.345234751701355]","[24.645781511691297, 17.771913137293, 22.274054676711653, 20.23119232245234, 21.33137719965853, 18.918192878394503, 46.812527044670745]","[0.2108299875186481, -0.014255487538584027, -0.015063534012128028, 0.06364952109684878, 0.012895416001388167, 0.0043674387071453435]",2489.615265632008,2889.4942554611057,6030.938531739793,0.08347681949013158,0.28940192,143.5546875
quem_perdeu_que_sofra.mp3,54713d404f5949d2a7462d429c300b9fdb5c851dcf6cb26a23379c178b023c38,"[-37.49735641479492, 76.42759704589844, 18.576059341430664, 15.773401260375977, 5.207418441772461, 13.0511474609375, -5.32715368270874, 5.230632305145264, -2.7343006134033203, 3.0007646083831787, -3.162447214126587, 3.6182124614715576, -4.44715690612793, 2.0052449703216553, -2.327115297317505, 7.027763366699219, -0.17305323481559753, 1.0369371175765991, 3.663571834564209, -1.3988603353500366]","[0.2317897528409958, 0.3166503310203552, 0.296789288520813, 0.24117791652679443, 0.40633857250213623, 0.32146531343460083, 0.3136710822582245, 0.22025348246097565, 0.36854785680770874, 0.4287339448928833, 0.2688084542751312, 0.2945476472377777]","[23.069850621679567, 17.241114525158878, 20.66911614528588, 20.44652676586556, 20.9023355174193, 19.236671367624904, 48.32772560119336]","[0.07262573995238521, -0.08470326346257567, -0.048824765308595836, 0.008209871270926997, 0.0032168956096980863, 0.005133332999642281]",2548.411402982047,2812.9568929484485,6058.471698583833,0.09384145825270898,0.3213826,151.99908088235293
ou_a_vaquejada_ou_eu.mp3,d7eddd15e7e365827a0e7fc58674714b34e6c8ae0116162c349637bfd551093d,"[-36.524871826171875, 89.0651626586914, 18.27853775024414, 21.5570125579834, 1.3309683799743652, 14.178886413574219, -11.110121726989746, 1.9246490001678467, -1.3943713903427124, 2.125277280807495, -1.849271535873413, 5.493882656097412, -1.2542668581008911, 2.058136463165283, -3.65083646774292, 4.230768203735352, -4.086004734039307, 1.1906170845031738, 1.6345622539520264, -0.8332564830780029]","[0.29259127378463745, 0.25860294699668884, 0.327501505613327, 0.18334008753299713, 0.25478869676589966, 0.20166131854057312, 0.42489343881607056, 0.5016692280769348, 0.2484690248966217, 0.30818238854408264, 0.2389269322156906, 0.33207255601882935]","[25.07795463840974, 17.78939720157236, 22.55610411966662, 21.225058692826778, 23.21684464889053, 21.306487040112238, 50.12467572512145]","[0.24299796719062947, 0.04364673563447095, 0.1591073142911736, 0.029722661807507184, 0.022058290834715135, 0.014938541968881494]",2348.3262287841903,2629.989298491625,5387.259090647978,0.10469777960526316,0.254867,143.5546875
assume_ou_solta.mp3,bf12c701071b72a6be86c87c78606f5a2562c184fbf081d8cc49f77fde4dfeed,"[-38.144168853759766, 77.16246795654297, 30.220563888549805, 30.703149795532227, 5.936516284942627, 17.449790954589844, -3.6451494693756104, 9.488717079162598, -2.667879819869995, 1.6383570432662964, -1.6611257791519165, 0.988889217376709, -3.014519453048706, 0.35312390327453613, -5.835143089294434, 3.024425506591797, -3.56331205368042, 2.6874964237213135, 0.020219525322318077, -0.19694717228412628]","[0.3584345877170563, 0.3350011110305786, 0.397430419921875, 0.33675459027290344, 0.3922084867954254, 0.335605263710022, 0.48069286346435547, 0.5583057403564453, 0.4053090214729309, 0.46878212690353394, 0.35271450877189636, 0.434160441160202]","[21.818538685486065, 15.61148811045833, 18.964999684647335, 18.983918972119493, 20.832513604849883, 19.440041269336533, 47.08452969453852]","[0.0570719955212532, 0.00653675270025902, 0.029580401096654364, -0.008990153870704207, 0.008252923409698876, -0.004062865188939267]",2566.8939604180746,2842.1198679887484,6081.471559506821,0.10446422092685759,0.28947875,112.34714673913044
valeu_cama.mp3,939f7415c18fafc307da6c0160fa0e7b3efb8f52958717a6e54f09be16522047,"[-38.355831146240234, 84.08355712890625, 18.889638900756836, 27.063817977905273, 3.06779408454895, 13.810785293579102, -9.488433837890625, 1.6891677379608154, 0.1250392645597458, 4.4756903648376465, -0.8335597515106201, 6.28057861328125, 0.09098239243030548, 4.540231227874756, -2.9375834465026855, 3.8332622051239014, -2.6862387657165527, 2.993734359741211, 2.8516008853912354, -2.267033815383911]","[0.3075585961341858, 0.2488100230693817, 0.38762977719306946, 0.231347918510437, 0.3275397717952728, 0.31950509548187256, 0.2328704446554184, 0.4031960666179657, 0.30645912885665894, 0.4877621531486511, 0.2917885482311249, 0.24285566806793213]","[24.490575089676305, 17.334678954965366, 22.5623665469312, 21.66890730232084, 24.342638631895884, 22.602604456575296, 49.57682786548106]","[0.18322917125426458, 0.19795301504779553, -0.07293988819898686, -0.03720788759087178, 0.0125638622222188, 0.023049317383756682]",2379.7243422356155,2660.6350471645023,5577.157942355601,0.10885232742356811,0.26394516,151.99908088235293
sexta_feira.mp3,d0f3e12bc1b0bb54f420a5ca74d8e481a6650332a15eca8d0f7e7f9c6dce7940,"[-58.529659271240234, 74.77934265136719, 16.518117904663086, 23.371929168701172, 2.546259641647339, 12.873987197875977, -8.17345142364502, 6.083456993103027, -1.3730217218399048, 4.114380836486816, -0.3064552843570709, 4.186582565307617, -1.0178484916687012, 6.460705280303955, -1.8569422960281372, 3.8356292247772217, -0.29203182458877563, 0.3224056363105774, 1.2923132181167603, 2.811943292617798]","[0.32282555103302, 0.21092122793197632, 0.2624109089374542, 0.25425657629966736, 0.4548133313655853, 0.2601468861103058, 0.3056073486804962, 0.2599555552005768, 0.23972539603710175, 0.308901846408844, 0.2647034823894501, 0.4897788465023041]","[23.757724875840566, 17.808952003427326, 23.51328655281421, 21.82264113899625, 24.02712714172283, 21.86024516005089, 50.11145396369517]","[0.17169234282747614, -0.033653618080192425, -0.02381107284998884, 0.07439843580399223, 0.009654548527379344, 0.02389973647108204]",2479.212914734847,2719.012685675207,5831.7480695506,0.10235312258126934,0.27934667,151.99908088235293
so_pra_me_machucar.mp3,9856bb0f90a44d7435355f39cfc04191dd855859ce4ebfa2bcc9b30d5533a676,"[-36.71426773071289, 76.97520446777344, 24.113162994384766, 17.987964630126953, 4.4774580001831055, 12.22014045715332, -7.13870906829834, 4.334647178649902, -4.6292314529418945, 3.4620611667633057, -0.35888227820396423, 3.7471718788146973, -4.711282730102539, 1.2405588626861572, -4.015835762023926, 4.229575157165527, -1.3591469526290894, 0.3328239917755127, 5.289376258850098, 1.2253930568695068]","[0.24236361682415009, 0.1749541461467743, 0.22075048089027405, 0.24078315496444702, 0.46894100308418274, 0.3388238549232483, 0.33542150259017944, 0.3185460567474365, 0.2696094214916229, 0.38242292404174805, 0.30934467911720276, 0.40600132942199707]","[23.47764098633875, 17.97227165123258, 21.527709231949586, 20.331158468209665, 21.480134573290737, 19.95900164409449, 48.12708676325468]","[0.1582133558010507, -0.04475484949593335, 0.005175283290416739, 0.04271600225539546, 0.014573986329603945, -0.0027135730064733253]",2641.222089274829,2881.4098256025572,6307.103528474507,0.09966417436629257,0.2991845,151.99908088235293
resumo.mp3,d93a0123b8a588a61fc02eb4bed414666176e7358ac528d1b2164d65bb4d8bf2,"[-41.72184371948242, 82.70529174804688, 26.198902130126953, 31.28520393371582, 7.1101837158203125, 16.272104263305664, -6.949784278869629, 6.067782878875732, -1.8425251245498657, 1.1677898168563843, 1.0309877395629883, 3.298837184906006, -2.462315559387207, 2.997188091278076, -5.653838634490967, 1.6459448337554932, -4.4739837646484375, -0.29949626326560974, -2.416910171508789, 0.10640197992324829]","[0.36928772926330566, 0.3302208185195923, 0.5046405792236328, 0.4001554548740387, 0.37062981724739075, 0.49657386541366577, 0.4175650179386139, 0.4289768636226654, 0.33379870653152466, 0.4511721730232239, 0.5127477049827576, 0.34086039662361145]","[22.070072973027084, 15.793592302933225, 19.32776529486611, 18.465403469780195, 21.120442807237744, 20.11082575240218, 47.041269079756525]","[0.004251271040945619, 0.07872875995291491, -0.0046871542186701625, -0.042425222345988355, 0.0069141102578229394, -0.008218258501811857]",2350.396750081303,2748.4394045367694,5708.265482899575,0.09418650529702012,0.2823356,86.1328125
