file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
peace_and_love_on_the_planet_earth.mp3,dfca20d249988ff1fc5cac4ce3c1516aa49f28bd345b113f18f73f18110bd66b,"[-231.07652282714844, 80.0057601928711, 21.768043518066406, 12.254716873168945, -10.562357902526855, -2.3676116466522217, -7.60546875, -15.194494247436523, -11.14852237701416, -13.713151931762695, -17.798213958740234, -7.204071521759033, -13.090802192687988, -5.7032270431518555, -8.584334373474121, -1.4103333950042725, -3.890667676925659, -5.0094895362854, -6.477316856384277, -1.3238345384597778]","[0.3565883934497833, 0.2236962616443634, 0.23840877413749695, 0.26949745416641235, 0.327027291059494, 0.308411568403244, 0.19306202232837677, 0.17444053292274475, 0.19115038216114044, 0.28784242272377014, 0.277486652135849, 0.325861394405365]","[25.86613224556674, 19.204090944962562, 23.633187485119766, 20.854310629284264, 21.01718976680886, 20.340724939099385, 46.30521143482491]","[0.03937794686115981, 0.06455356280855357, -0.02500955524116241, 0.0591760944793485, -0.009872473324353249, 0.00768159184669399]",2426.8198827548104,2350.3006824420213,4579.28897633272,0.1097381875241873,0.0960468,151.99908088235293
stronger_than_you.mp3,6a152562f374fe4221c6265349162b34321dc8635a30f14c08fbc6c59d12dd80,"[-154.3146209716797, 58.10702133178711, -6.703217029571533, 16.635578155517578, -4.236027240753174, -9.355724334716797, -10.1443452835083, -10.178677558898926, -16.056360244750977, -9.328847885131836, -15.70451831817627, -2.5672051906585693, -6.200022220611572, -4.246669769287109, -2.3624494075775146, -6.771239280700684, -9.396153450012207, -4.6108293533325195, -8.197976112365723, -3.9207544326782227]","[0.45804867148399353, 0.27500587701797485, 0.342056542634964, 0.3644319474697113, 0.19034545123577118, 0.18418951332569122, 0.23214761912822723, 0.46944522857666016, 0.32871013879776, 0.2526687979698181, 0.3163929879665375, 0.41690298914909363]","[26.859268724762334, 20.65885143158589, 23.732046521707883, 21.29848989169858, 21.42535016652258, 22.1390865822981, 47.0869728750534]","[-0.04966293390386346, 0.176690533614288, 0.19413250900304732, 0.1097092468899908, -0.00043965144108376814, 0.009463430172637646]",2777.676063619308,2592.6791173048077,5552.149760243325,0.11800042025445047,0.14019221,99.38401442307692
we_are_the_crystal_gems.mp3,f170d5a1ebe903a15155f097a9848a7a52d834397ccd977a5f7f7dd83dcacb82,"[-231.346923828125, 85.9566650390625, -2.846055269241333, 15.251517295837402, -7.9431633949279785, -6.422921180725098, -8.710573196411133, -18.81489372253418, -14.964388847351074, -12.536969184875488, -17.79974365234375, -16.24569320678711, -12.008626937866211, -12.218751907348633, -18.250749588012695, -4.3259596824646, -4.584954738616943, 4.931467533111572, 0.0939631536602974, 7.1802239418029785]","[0.35877785086631775, 0.3310891091823578, 0.22022368013858795, 0.18778665363788605, 0.3778423070907593, 0.35857605934143066, 0.189809650182724, 0.17293289303779602, 0.16662582755088806, 0.2354954332113266, 0.2047356516122818, 0.21883869171142578]","[18.51149745379011, 19.664281440708887, 22.85237594031681, 22.351954234250208, 23.351565643574745, 22.5739791674305, 47.478137443753354]","[0.042374872316965094, 0.04878333699768885, -0.10891526300444256, 0.08487765618741226, 0.023550379066815657, -0.013926623716024844]",2169.8529488331583,2251.10350808352,4197.274619654605,0.09627417218943499,0.089093685,107.666015625
its_over_isnt_it.mp3,4d21f0c8c99fffdaa49e22873dbba0d765fc3f381d46030dc7fd6fe2644dd2fc,"[-304.3201599121094, 103.53978729248047, 12.4564208984375, -2.0001163482666016, -3.754406213760376, -16.437671661376953, -7.1434502601623535, -16.2119083404541, -12.7008695602417, -9.571066856384277, -12.918845176696777, -9.342537879943848, -13.213446617126465, -4.708100318908691, -10.92249584197998, -9.663374900817871, -9.505171775817871, -9.110289573669434, -6.880616188049316, -2.567803144454956]","[0.4042903482913971, 0.24153217673301697, 0.3045196831226349, 0.2156364470720291, 0.25717616081237793, 0.25295379757881165, 0.22401359677314758, 0.3271799385547638, 0.24780982732772827, 0.278385728597641, 0.23719267547130585, 0.34196603298187256]","[25.921797966941593, 20.569853687111493, 22.917521065929268, 22.347819508275307, 22.099564610785613, 21.59970978392282, 44.5589769191604]","[0.13128799680008282, 0.11643324637399245, 0.04736616697227985, 0.0479039301443051, -0.016517353378494047, -0.01428879470301859]",1853.3288546055917,1971.9905800619654,3347.888089112084,0.09043104803599071,0.052422468,151.99908088235293
be_wherever_you_are.mp3,d28e2932785d37942e098c3da005013a86489041d0450ba4ad47a00d159fc1b4,"[-152.2532501220703, 83.76736450195312, 22.444900512695312, 29.291107177734375, -2.563843011856079, 3.788384437561035, -3.9592885971069336, -1.339908242225647, -7.021274089813232, -1.4294288158416748, -21.0349178314209, -7.300862789154053, -6.766957759857178, 2.5936434268951416, -12.728575706481934, -5.026550769805908, -4.721134662628174, -4.514140605926514, -8.489283561706543, 4.46205472946167]","[0.43972542881965637, 0.30641666054725647, 0.2753472924232483, 0.2929978370666504, 0.33229827880859375, 0.262709379196167, 0.2647762596607208, 0.3223625421524048, 0.259265273809433, 0.2487359344959259, 0.1972058117389679, 0.2885270118713379]","[26.76804943491943, 19.094012654204388, 24.129262567369622, 24.001995724664717, 24.250950739599556, 21.420773783201636, 49.646557415571586]","[0.054640975759996185, 0.1281403248250827, 0.05037322720107624, 0.07661324312287632, -0.004949923693744362, 0.024819481145390888]",2257.268942484847,2435.403926871615,4703.8298899175215,0.08355920750290248,0.17329226,112.34714673913044
something_entirely_new.mp3,848106f9270599d831b12b060875482d36c3f40578363c2ab2be56bb10ac33ed,"[-289.8095703125, 105.3724365234375, 36.25355529785156, 22.88166618347168, 1.3848159313201904, -4.299808502197266, -0.5192931294441223, -6.006346225738525, -1.9136487245559692, -9.198619842529297, -2.505497455596924, -2.807936429977417, -3.256560802459717, -3.3017616271972656, -1.7444781064987183, -1.9512323141098022, -6.090821266174316, -4.868119239807129, -4.130683898925781, 1.632123589515686]","[0.4818664789199829, 0.2723584771156311, 0.36359456181526184, 0.2387956827878952, 0.2053288370370865, 0.2063693404197693, 0.16567085683345795, 0.27938371896743774, 0.2558252215385437, 0.33507636189460754, 0.29429715871810913, 0.34942927956581116]","[24.588862390044262, 22.575194822011287, 24.610042764609002, 23.174015462689383, 22.505366015368566, 21.389771684887176, 45.501894278894234]","[0.14012554184655965, 0.18069821181257856, -0.02945174071606214, -0.010819875691252402, -0.040898771023717084, 0.011031886872169758]",1517.5560261656442,1947.3858695575886,3080.198041130515,0.05475061375290248,0.098674126,117.45383522727273
havent_you_noticed_im_a_star.mp3,e410f395068c4e2667bed53cd410d6b07ff2e3006e2ce313f44d62efcd9fbfcd,"[-126.6007308959961, 83.66964721679688, 4.316207408905029, 23.688268661499023, 1.8365947008132935, -7.509783744812012, -7.2902960777282715, 3.411742687225342, -6.165293216705322, -6.094416618347168, -7.3140435218811035, -5.163478851318359, -9.518107414245605, -4.317798137664795, -6.471988201141357, -8.217232704162598, -9.414544105529785, -3.763974189758301, -6.369665145874023, -4.750172138214111]","[0.3140573501586914, 0.3533398509025574, 0.5451720952987671, 0.3185438811779022, 0.31203940510749817, 0.22261309623718262, 0.2443976104259491, 0.28494662046432495, 0.3343907296657562, 0.4906843304634094, 0.30034661293029785, 0.2527960538864136]","[23.653404092444614, 18.777884428090903, 21.031218868442558, 20.32052071041427, 19.759528864715236, 19.30991737972262, 47.018897894791166]","[0.14048345058645534, 0.04252605936745746, -0.05318986344145438, -0.08010757017964297, -0.01336387401374383, 0.020583951849098996]",2450.1740494949436,2462.599915312126,5373.592506621275,0.0998735457381966,0.15854813,123.046875
full_disclosure.mp3,4ef537419e1a9d8336f6224d20a95c66b61717b288277e6cf9e9db85cdb3cd2d,"[-167.50933837890625, 73.20272827148438, 12.310066223144531, 29.116453170776367, 15.557511329650879, 12.720666885375977, 2.1634581089019775, 6.067254543304443, -2.862898349761963, 0.6643177270889282, -5.281381607055664, -0.3775930404663086, -5.953189849853516, -6.852768898010254, -9.648887634277344, -2.746215343475342, -5.121967792510986, -4.80894660949707, -5.59454870223999, -5.532686710357666]","[0.33792242407798767, 0.2609264552593231, 0.32174524664878845, 0.3791359066963196, 0.3193519711494446, 0.3139454126358032, 0.3237207531929016, 0.45087283849716187, 0.40024641156196594, 0.3656741976737976, 0.41613802313804626, 0.33704689145088196]","[27.21306953498217, 19.336577293328762, 20.30363297016748, 18.966957785454092, 20.228152370730836, 19.07245111009362, 48.324338393830814]","[-0.16688400084285704, 0.14346188844639196, 0.0886566869077636, 0.03729351177262334, 0.0002446650606954133, 0.00811287801795295]",2650.213436151098,2544.061559677143,5467.133607657701,0.11813307251354489,0.13371123,92.28515625
what_can_i_do_for_you.mp3,f231cbd3dca4ac67b1b13c2a01d7ef614435ff96174e5b2cb8e2530f16fb6a49,"[-140.1558380126953, 75.60091400146484, 32.410091400146484, 39.12250900268555, 16.062803268432617, 18.21308708190918, 6.285304546356201, 6.116888523101807, -2.676178216934204, 6.661745071411133, -3.1087841987609863, 2.269836187362671, -2.728707790374756, 0.9670614004135132, -4.696227073669434, -1.1569145917892456, -1.1942203044891357, 3.238539695739746, -1.2752560377120972, 1.2012194395065308]","[0.42697659134864807, 0.4221678376197815, 0.49917280673980713, 0.3747183382511139, 0.2873905301094055, 0.2936305105686188, 0.34975892305374146, 0.4046860337257385, 0.35929128527641296, 0.40258803963661194, 0.38512104749679565, 0.432166188955307]","[26.323325407169897, 18.74649831445292, 19.37122712892618, 18.525276421753528, 18.377315531753286, 17.757758154908164, 46.98612274440957]","[0.1723636411756032, 0.0745661791340783, 0.22226728253814765, -0.0717163285512287, -0.00504752502346401, -0.046533406673730134]",2339.186011983058,2748.4383390208786,5455.250346180825,0.06614623645510836,0.15528493,112.34714673913044
love_like_you_feat_rebecca_sugar_end_credits.mp3,f08f28f8fd7087dd57655d53f59a4037c093e74d7f66401f78fea3de30069ba1,"[-183.80931091308594, 111.3037109375, 17.52663230895996, 8.81862735748291, 9.761975288391113, 0.6809057593345642, -0.5317050218582153, 0.44375625252723694, -2.977414608001709, -0.2711896300315857, -7.312012672424316, -8.28044319152832, -7.450597286224365, -1.397891640663147, -6.244629859924316, -1.2108067274093628, -7.5918378829956055, 0.02515498735010624, -4.4535346031188965, -1.9611561298370361]","[0.20551425218582153, 0.14898063242435455, 0.22240523993968964, 0.2761547267436981, 0.20922055840492249, 0.29751890897750854, 0.2999754250049591, 0.3868294954299927, 0.359185129404068, 0.29617542028427124, 0.3600747287273407, 0.2386927604675293]","[25.1488014442214, 20.89944567374535, 23.91875056140184, 22.895752667462904, 23.073424828157385, 21.05461824845109, 45.955618181990836]","[-0.11956565012205687, 0.14373137313656698, 0.06649721495810043, 0.00017804112436732488, -0.015789439840856102, -0.02475760189335916]",1622.501277127124,2108.1485930612484,3538.3786039086685,0.05305485681114551,0.1608181,117.45383522727273
strong_in_the_real_way.mp3,4568c87202d3e3f96eca40b7b9eab4438d11749e445864a62aac404eeb1ad717,"[-175.19068908691406, 101.69477844238281, -3.1270816326141357, 4.812065601348877, -6.482802867889404, -7.189938545227051, 0.014395415782928467, -8.506346702575684, -6.003432273864746, 1.9438848495483398, -14.374829292297363, -1.980939269065857, -11.60631275177002, -4.6710381507873535, -2.146183967590332, -1.4176839590072632, -2.3118491172790527, -1.6201306581497192, -0.6595308780670166, -2.1252012252807617]","[0.2152155190706253, 0.24878135323524475, 0.43381860852241516, 0.2528885304927826, 0.20955270528793335, 0.20222017168998718, 0.22883674502372742, 0.3755435049533844, 0.2180037647485733, 0.32801496982574463, 0.29330962896347046, 0.22710014879703522]","[22.840000247182267, 19.320474697300597, 23.318799789437502, 23.330632220153355, 23.235351936499093, 25.100052287444747, 46.59811890987004]","[0.09346147946834509, 0.11231631058418201, 0.06475735422520791, -0.07393915965812912, 0.013390963118495122, -0.015032434280444144]",2165.3747958982267,2071.9613760254524,3954.5927537853136,0.11589801422213622,0.1240341,117.45383522727273
that_distant_shore.mp3,864bf5de7464df599ded85cda2d50a94e0db2858bc273eedf14d1d5ced709402,"[-304.76165771484375, 82.4935531616211, 4.98126220703125, 13.57936954498291, -0.17903080582618713, 0.02691064588725567, 7.2662672996521, -0.5111681818962097, -4.634363651275635, -2.4768226146698, -8.985099792480469, 0.01869773305952549, -5.527752876281738, -3.194821834564209, -12.043663024902344, -6.484137535095215, 2.435823917388916, 1.7967629432678223, -2.347856283187866, -3.6558470726013184]","[0.18610480427742004, 0.2985644042491913, 0.5782515406608582, 0.27223268151283264, 0.32889324426651, 0.20761418342590332, 0.2031252384185791, 0.19817101955413818, 0.1415722668170929, 0.20392167568206787, 0.16504216194152832, 0.16198855638504028]","[25.591392678026306, 18.737910475184467, 22.562411729058542, 28.19762333569365, 24.198251541178166, 21.096536327716404, 47.121531595319894]","[0.2928528462774423, 0.05884895586180085, -0.027011043166950237, -0.15509943881433608, -0.024772576471549436, -0.06399623121996965]",1606.9171452006167,1737.592901843184,2854.949403178212,0.07564731279024768,0.082924105,123.046875
here_comes_a_thought.mp3,28dbd1bd14d59641e6f143f63f40b5312218f9fdb437af38d10f5def0415d5b1,"[-222.79283142089844, 78.29666137695312, 19.29168128967285, 20.13726806640625, 8.60616683959961, 2.8563034534454346, -0.07650595903396606, -6.494290351867676, -9.721193313598633, -1.581615924835205, -7.155640602111816, -8.807891845703125, -9.06064510345459, -4.754626750946045, -3.4883954524993896, -8.936543464660645, -7.744897842407227, -4.373262882232666, -7.861870288848877, 0.4443700313568115]","[0.340686559677124, 0.2270689159631729, 0.27396297454833984, 0.27612677216529846, 0.46969178318977356, 0.4266754388809204, 0.2665542662143707, 0.21964138746261597, 0.21544942259788513, 0.24528399109840393, 0.23117516934871674, 0.3593619465827942]","[27.32576499414494, 22.180540858559816, 22.314535933332053, 20.25748473810616, 17.75331682299309, 18.642287018010574, 44.22733131895065]","[0.04040549537503412, 0.06721525997075713, -0.0793712455166602, 0.08622276307948296, -0.047587663662147374, -0.032555462666661976]",1954.4904709278862,2218.7091695458366,4007.192435722233,0.06569763750483747,0.1424222,184.5703125
